layer	name	img_url	url	rate	rate1	rate2
8	韩善续 Shanxu Han	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538207407.06.webp	/people/1313909/	89	75	90
9	找乐	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174624451.webp	/movie/1394495/	49	47	40
10	黄文捷 Wenjie Huang	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1528514848.58.webp	/people/1369453/	45	36	49
1	辛亥革命	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1240455745.webp	/movie/4896305/	30	25	34
2	宁静 Jing Ning	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p28523.webp	/people/1046132/	20	23	14
3	炮打双灯	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2352160104.webp	/movie/1307823/	97	80	90
4	巫刚 Gang Wu	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1496975274.85.webp	/people/1312271/	27	32	26
5	惊天动地	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1378642413.webp	/movie/3987383/	38	41	45
6	童蕾 Lei Tong	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p11699.webp	/people/1275723/	72	69	77
7	求爱嫁期	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2182471262.webp	/movie/25828563/	56	56	65
8	王一 Yi Wang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1368690901.94.webp	/people/1315295/	29	28	27
9	小鱼吃大鱼	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1779876247.webp	/movie/20278801/	80	93	85
10	曹其昌 Qichang Cao	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1357532761.66.webp	/people/1324526/	52	60	44
1	生化危机5：惩罚 Resident Evil: Retribution	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1624130437.webp	/movie/6532822/	92	81	98
2	艾丽·拉特 Ali Larter	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p29884.webp	/people/1018978/	96	84	77
3	狂风沙 American Outlaws	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958925008.webp	/movie/1305409/	40	39	41
4	约翰尼·巴蒂 Johnny Bartee	https://img3.doubanio.com/f/movie/8dd0c794499fe925ae2ae89ee30cd225750457b4/pics/movie/celebrity-default-medium.png	/people/1178386/	38	43	40
5	心灵投手 The Rookie	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2359669304.webp	/movie/1306952/	95	85	92
6	Raynor Scheine	https://img3.doubanio.com/f/movie/8dd0c794499fe925ae2ae89ee30cd225750457b4/pics/movie/celebrity-default-medium.png	/people/1170521/	52	58	55
7	终极悍将 Last Man Standing	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p860150517.webp	/movie/1301770/	77	62	98
8	小托马斯·罗萨莱斯 Thomas Rosales Jr.	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1527762348.95.webp	/people/1143150/	19	4	10
9	超级英雄 Superhero Movie	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327821981.webp	/movie/2364973/	86	76	91
10	凯斯·大卫 Keith David	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p12826.webp	/people/1019012/	7	9	16
1	天下无贼	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191934463.webp	/movie/1291550/	55	66	48
2	张涵予 Hanyu Zhang	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p49047.webp	/people/1274319/	31	34	25
3	集结号	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1235755017.webp	/movie/1907464/	46	54	43
4	武洪武 Hongwu Wu	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/pnd2OL09ugE4cel_avatar_uploaded1353295712.99.webp	/people/1324913/	84	85	98
1	云水谣	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p787213786.webp	/movie/1949811/	97	87	82
2	秦汉 Han Chin	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p5348.webp	/people/1012937/	85	79	91
3	海鸥飞处 海鷗飛處	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539762790.webp	/movie/1890812/	93	84	83
4	葛香亭 Hsiang Ting Ko	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p15780.webp	/people/1092070/	8	15	5
5	心有千千结 心有千千結	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529749795.webp	/movie/5158369/	36	29	29
6	蔡慧华 Hui Hua Tsai	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1517215374.66.webp	/people/1347932/	90	98	84
7	寂寞的十七岁	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2337124505.webp	/movie/2245764/	76	70	66
8	王宇 Yu Wang	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1423748899.98.webp	/people/1347933/	84	88	71
9	路客与刀客	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190737936.webp	/movie/2245836/	83	68	95
10	陶述 Shut Tiu	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1424078786.02.webp	/people/1333806/	80	84	80
