1009530	5	1	6
1009545	3	1	5
1009553	436	2	3
1009561	15	1	6
1009563	77	1	8
1009575	23	2	6
1009579	52	1	5
1009600	6	1	5
1009610	1200	2	5
1009613	1165	2	5
1009634	8	2	3
1009638	1	1	5
1009652	8	2	5
1009674	58	1	5
1009703	3	1	5
1009704	258	1	5
1009705	54	2	4
1009730	768	2	3
1009777	670	1	5
1009809	34	1	5
1009844	820	2	4
1009851	71	2	3
1009872	37	1	3
1009875	615	2	4
1009879	8	1	4
1009895	501	1	3
1009902	14	1	5
1009922	309	2	4
1009932	403	2	5
1009941	8	1	5
1009983	8	1	7
1009990	3	1	7
1009991	1	1	6
1010036	475	2	3
1010063	396	1	4
1010076	474	1	6
1010082	644	1	4
1010120	3	1	8
1010132	8	1	8
1010193	37	1	4
1010226	3	1	7
1010252	71	1	5
1010294	286	1	5
1010302	645	1	4
1010486	6	1	4
1010489	3	2	7
1010503	13	1	3
1010507	13	1	6
1010508	84	1	5
1010509	51	1	6
1010510	13	1	4
1010533	1	1	3
1010536	8	1	4
1010537	8	1	6
1010538	8	1	5
1010539	53	1	6
1010540	1	1	8
1010541	37	1	5
1010543	268	1	6
1010544	37	1	6
1010545	6	2	4
1010546	8	1	6
1010548	102	2	6
1010549	42	1	5
1010551	8	1	6
1010555	897	2	7
